Category,Term,Definition,Source_ID,Source_link
Mass Spectrometry,Ionization,The process by which an atom or a molecule acquires a negative or positive charge by gaining or losing electrons.,American Society for Mass Spectrometry,https://www.asms.org/about-mass-spectrometry
Mass Spectrometry,Mass Analyzer,A device in a mass spectrometer that separates ions according to their mass-to-charge ratios.,Thermo Fisher Scientific,https://www.thermofisher.com/blog/proteomics/mass-analyzers-the-heart-of-the-mass-spectrometer/
Mass Spectrometry,Detector,A component of a mass spectrometer that records the charge-induced signal from ions.,ScienceDirect,https://www.sciencedirect.com/topics/chemistry/mass-spectrometry-detectors
Mass Spectrometry,Tandem Mass Spectrometry (MS/MS),A technique where ions are subjected to two or more stages of mass analysis.,SpringerLink,https://link.springer.com/referenceworkentry/10.1007%2F978-3-642-35943-9_4495-1
Mass Spectrometry,Electrospray Ionization (ESI),A technique used in mass spectrometry to produce ions using an electrospray.,Analytical Chemistry,https://pubs.acs.org/doi/10.1021/ac00062a010
Mass Spectrometry,Matrix-Assisted Laser Desorption/Ionization (MALDI),"A soft ionization technique used in mass spectrometry, allowing the analysis of biomolecules and large organic molecules.",Nature,https://www.nature.com/articles/nmeth.1122
Mass Spectrometry,Quadrupole,A type of mass analyzer that uses oscillating electric fields to filter ions by their mass-to-charge ratio.,Shimadzu,https://www.shimadzu.com/an/lifescience/massspectrometry/basic/quadrupole.html
Mass Spectrometry,Time-of-Flight (TOF),"A mass spectrometry technique where ions are separated by their time of flight, which correlates with their mass-to-charge ratio.",Bruker,https://www.bruker.com/products/mass-spectrometry-and-separations/time-of-flight-mass-spectrometers.html
Mass Spectrometry,Orbitrap,A type of mass analyzer that uses an orbital trapping field to achieve high resolution and mass accuracy.,Thermo Fisher Scientific,https://www.thermofisher.com/order/catalog/product/IQLAAEGAAPFALGMBZO
Mass Spectrometry,Fourier Transform Ion Cyclotron Resonance (FT-ICR),A high-resolution technique used to determine the mass-to-charge ratio of ions based on their cyclotron frequency.,ScienceDirect,https://www.sciencedirect.com/topics/chemistry/fourier-transform-ion-cyclotron-resonance-mass-spectrometry
Mass Spectrometry,Fragmentation,"The process by which ions break into smaller pieces, which can be analyzed to determine structural information.",Royal Society of Chemistry,https://www.rsc.org/education/eic/issues/2013/november/fragmentation-patterns-mass-spectrometry.asp
Mass Spectrometry,Base Peak,The peak in a mass spectrum that has the greatest intensity.,Mass Spec Terminology,https://www.chromacademy.com/lms/sco11/Sample_Preparation/sco11_p8.html
Mass Spectrometry,Mass Spectrum,A plot that represents the distribution of ions by mass-to-charge ratio in a sample.,Oxford Instruments,https://www.oxford-instruments.com/mass-spectrometry
Mass Spectrometry,Mass-to-Charge Ratio (m/z),A dimensionless quantity that represents the mass of an ion divided by its charge.,IUPAC,https://goldbook.iupac.org/terms/view/M03753
Mass Spectrometry,Isotopic Pattern,The distribution of isotopes in the mass spectrum of an element or molecule.,Chemistry LibreTexts,https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Supplemental_Modules_(Physical_and_Theoretical_Chemistry)/Spectroscopy/Mass_Spectrometry/Interpretation_of_Mass_Spectra/Isotopic_Patterns
